log_id,asset_id,date,type,description,technician,duration_hours,parts_replaced,cost_eur
MX-00100,WT-027,2024-02-06,corrective,"Corrective maintenance following fault E-5001: Transformer oil temperature warning — 85°C threshold reached. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Pablo López,2.8,Gearbox oil filter,2709.29
MX-00123,PV-004,2024-02-06,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Laura Martínez,4.6,Generator coupling,2830.33
MX-00124,PV-004,2024-02-07,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Ana García,4.3,Generator coupling,3725.17
MX-00012,WT-004,2024-02-08,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Carlos Fernández,8.5,Control board,3925.05
MX-00014,WT-004,2024-02-08,corrective,"Corrective maintenance following fault E-4001: Yaw system fault — nacelle heading error >10°. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Alejandro Ruiz,8.6,Grid fuse set,981.84
MX-00071,WT-020,2024-02-08,corrective,"Corrective maintenance following fault E-1001: Gearbox overheating — coolant flow below threshold. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Laura Martínez,12.4,Pitch bearing grease,5081.0
MX-00182,PV-019,2024-02-08,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",María Sánchez,6.0,Hydraulic pump seal,3394.49
MX-00162,PV-014,2024-02-09,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Carlos Fernández,11.1,Yaw motor,2749.96
MX-00107,WT-030,2024-02-10,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Diego González,7.7,Yaw motor,4853.32
MX-00128,PV-005,2024-02-12,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Javier Rodríguez,11.7,Gearbox oil filter,3081.33
MX-00157,PV-012,2024-02-13,corrective,"Corrective maintenance following fault E-3003: Grid frequency out of tolerance — automatic disconnect triggered. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Javier Rodríguez,5.9,Generator coupling,11171.71
MX-00106,WT-029,2024-02-14,corrective,"Corrective maintenance following fault E-1002: Rotor imbalance detected — blade pitch deviation >2°. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Carlos Fernández,8.0,Control board,10481.49
MX-00040,WT-012,2024-02-15,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Alejandro Ruiz,9.3,Generator coupling,4035.61
MX-00177,PV-018,2024-02-15,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Alejandro Ruiz,7.6,Cable harness,1105.95
MX-00067,WT-020,2024-02-16,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Alejandro Ruiz,11.0,Pitch bearing grease,1880.69
MX-00004,WT-001,2024-02-17,corrective,"Corrective maintenance following fault E-1003: Generator bearing vibration exceeds 8 mm/s RMS. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Pablo López,2.6,None,3081.29
MX-00029,WT-009,2024-02-17,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",María Sánchez,10.9,Inverter IGBT module,1150.15
MX-00141,PV-008,2024-02-17,corrective,"Corrective maintenance following fault E-3003: Grid frequency out of tolerance — automatic disconnect triggered. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Ana García,13.8,Control board,3602.49
MX-00104,WT-029,2024-02-23,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Elena Torres,5.6,Hydraulic pump seal,2534.8
MX-00063,WT-019,2024-02-24,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Isabel Moreno,9.1,Control board,1157.93
MX-00036,WT-011,2024-02-25,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Isabel Moreno,9.6,Control board,1681.04
MX-00072,WT-021,2024-02-26,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Ana García,11.6,Generator coupling,3999.71
MX-00136,PV-007,2024-02-26,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Javier Rodríguez,11.9,Anemometer sensor,3251.52
MX-00057,WT-017,2024-02-27,corrective,"Corrective maintenance following fault E-2001: SCADA communication timeout — data gap logged. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Javier Rodríguez,10.2,Gearbox oil filter,5015.53
MX-00163,PV-014,2024-02-27,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Diego González,6.9,Yaw motor,3237.87
MX-00093,WT-026,2024-02-28,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Javier Rodríguez,10.3,Generator coupling,1705.58
MX-00146,PV-010,2024-02-28,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Laura Martínez,4.6,Control board,2641.75
MX-00173,PV-017,2024-03-01,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Alejandro Ruiz,10.5,Brake pad set,4341.7
MX-00008,WT-002,2024-03-04,corrective,"Corrective maintenance following fault E-1002: Rotor imbalance detected — blade pitch deviation >2°. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",María Sánchez,13.5,Pitch bearing grease,2767.4
MX-00149,PV-011,2024-03-04,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Alejandro Ruiz,6.5,Gearbox oil filter,1202.93
MX-00009,WT-003,2024-03-05,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Ana García,4.7,Inverter IGBT module,3021.35
MX-00041,WT-012,2024-03-06,corrective,"Corrective maintenance following fault E-4001: Yaw system fault — nacelle heading error >10°. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Javier Rodríguez,8.0,Pitch bearing grease,2812.21
MX-00121,PV-003,2024-03-07,corrective,"Corrective maintenance following fault E-3003: Grid frequency out of tolerance — automatic disconnect triggered. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Elena Torres,11.0,Gearbox oil filter,14407.69
MX-00134,PV-006,2024-03-08,corrective,"Corrective maintenance following fault E-2001: SCADA communication timeout — data gap logged. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Elena Torres,13.5,Generator coupling,6724.03
MX-00098,WT-027,2024-03-09,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Carlos Fernández,8.6,Pitch bearing grease,4939.14
MX-00120,PV-003,2024-03-12,corrective,"Corrective maintenance following fault E-2001: SCADA communication timeout — data gap logged. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Carlos Fernández,5.9,Rotor blade bolt kit,6721.31
MX-00037,WT-011,2024-03-13,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Elena Torres,7.0,Hydraulic pump seal,4085.14
MX-00074,WT-021,2024-03-13,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Ana García,4.4,Brake pad set,3500.46
MX-00119,PV-003,2024-03-14,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Javier Rodríguez,4.0,Generator coupling,4998.2
MX-00086,WT-024,2024-03-15,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",María Sánchez,9.2,Yaw motor,3134.73
MX-00170,PV-016,2024-03-15,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Laura Martínez,4.3,Inverter IGBT module,2554.85
MX-00005,WT-002,2024-03-17,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Carlos Fernández,6.3,Gearbox oil filter,1230.89
MX-00183,PV-019,2024-03-18,corrective,"Corrective maintenance following fault E-3003: Grid frequency out of tolerance — automatic disconnect triggered. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",María Sánchez,13.9,Pitch bearing grease,3773.87
MX-00073,WT-021,2024-03-19,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Pablo López,8.7,Brake pad set,2758.57
MX-00078,WT-022,2024-03-19,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Carlos Fernández,7.0,Control board,2872.24
MX-00161,PV-014,2024-03-19,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Elena Torres,10.9,Inverter IGBT module,4927.23
MX-00032,WT-010,2024-03-21,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Diego González,5.2,Pitch bearing grease,4457.61
MX-00050,WT-015,2024-03-22,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Laura Martínez,11.4,Gearbox oil filter,2212.4
MX-00011,WT-003,2024-03-24,corrective,"Corrective maintenance following fault E-1003: Generator bearing vibration exceeds 8 mm/s RMS. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Alejandro Ruiz,12.8,Anemometer sensor,6050.61
MX-00010,WT-003,2024-03-25,corrective,"Corrective maintenance following fault E-5001: Transformer oil temperature warning — 85°C threshold reached. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Elena Torres,8.1,Generator coupling,4755.17
MX-00174,PV-017,2024-03-25,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Ana García,11.9,Pitch bearing grease,3768.57
MX-00115,PV-002,2024-03-26,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Isabel Moreno,5.5,Inverter IGBT module,4421.68
MX-00156,PV-012,2024-03-27,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Isabel Moreno,5.0,Anemometer sensor,1541.41
MX-00090,WT-025,2024-03-29,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Elena Torres,5.6,Pitch bearing grease,2237.76
MX-00112,PV-001,2024-03-30,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Carlos Fernández,4.0,Generator coupling,2258.48
MX-00152,PV-011,2024-03-30,corrective,"Corrective maintenance following fault E-5001: Transformer oil temperature warning — 85°C threshold reached. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Diego González,8.0,Pitch bearing grease,12854.99
MX-00087,WT-024,2024-03-31,corrective,"Corrective maintenance following fault E-2001: SCADA communication timeout — data gap logged. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Diego González,9.9,Grid fuse set,4898.22
MX-00070,WT-020,2024-04-01,corrective,"Corrective maintenance following fault E-1003: Generator bearing vibration exceeds 8 mm/s RMS. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Pablo López,11.5,Control board,10630.93
MX-00109,WT-030,2024-04-03,corrective,"Corrective maintenance following fault E-1001: Gearbox overheating — coolant flow below threshold. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Isabel Moreno,13.6,Control board,3565.2
MX-00145,PV-010,2024-04-03,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Isabel Moreno,4.5,Yaw motor,1472.33
MX-00056,WT-017,2024-04-04,corrective,"Corrective maintenance following fault E-5001: Transformer oil temperature warning — 85°C threshold reached. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",María Sánchez,6.1,Anemometer sensor,5798.62
MX-00103,WT-028,2024-04-05,corrective,"Corrective maintenance following fault E-1003: Generator bearing vibration exceeds 8 mm/s RMS. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Ana García,5.0,Transformer oil,12253.41
MX-00053,WT-016,2024-04-06,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Javier Rodríguez,11.4,Inverter IGBT module,3586.31
MX-00099,WT-027,2024-04-06,corrective,"Corrective maintenance following fault E-4002: Blade pitch actuator slow response — emergency feather engaged. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Elena Torres,6.4,Anemometer sensor,12415.39
MX-00015,WT-005,2024-04-07,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Laura Martínez,11.4,Cable harness,4507.61
MX-00111,PV-001,2024-04-07,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Pablo López,7.1,Cable harness,3680.5
MX-00148,PV-010,2024-04-08,corrective,"Corrective maintenance following fault E-5002: Main circuit breaker trip — overvoltage protection activated. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Javier Rodríguez,9.1,Yaw motor,11049.69
MX-00155,PV-012,2024-04-08,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Laura Martínez,8.4,Control board,1505.67
MX-00018,WT-006,2024-04-09,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Pablo López,5.3,Gearbox oil filter,2934.31
MX-00147,PV-010,2024-04-10,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",María Sánchez,11.0,Cable harness,4675.25
MX-00085,WT-024,2024-04-11,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",María Sánchez,10.4,Inverter IGBT module,1243.93
MX-00143,PV-009,2024-04-11,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Elena Torres,10.7,Hydraulic pump seal,4411.55
MX-00048,WT-014,2024-04-14,corrective,"Corrective maintenance following fault E-1002: Rotor imbalance detected — blade pitch deviation >2°. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Pablo López,8.4,Generator coupling,5537.51
MX-00137,PV-007,2024-04-16,corrective,"Corrective maintenance following fault E-2001: SCADA communication timeout — data gap logged. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Carlos Fernández,3.6,None,14293.51
MX-00079,WT-022,2024-04-19,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Diego González,4.2,Pitch bearing grease,2778.23
MX-00167,PV-015,2024-04-22,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Javier Rodríguez,11.3,Anemometer sensor,2816.51
MX-00051,WT-015,2024-04-25,corrective,"Corrective maintenance following fault E-1002: Rotor imbalance detected — blade pitch deviation >2°. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Alejandro Ruiz,2.4,Cable harness,7766.99
MX-00117,PV-003,2024-04-25,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Pablo López,9.1,Brake pad set,1942.98
MX-00184,PV-020,2024-04-27,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Pablo López,6.0,Yaw motor,4196.32
MX-00052,WT-016,2024-04-28,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Elena Torres,4.1,Generator coupling,4772.37
MX-00054,WT-016,2024-04-28,corrective,"Corrective maintenance following fault E-1001: Gearbox overheating — coolant flow below threshold. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Elena Torres,15.9,Generator coupling,5882.03
MX-00164,PV-014,2024-04-28,corrective,"Corrective maintenance following fault E-3001: Inverter overtemperature — ambient+module delta T exceeded. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Elena Torres,13.8,Rotor blade bolt kit,8841.29
MX-00133,PV-006,2024-04-29,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Isabel Moreno,9.5,Brake pad set,4686.98
MX-00030,WT-009,2024-05-01,corrective,"Corrective maintenance following fault E-1003: Generator bearing vibration exceeds 8 mm/s RMS. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Carlos Fernández,6.2,Brake pad set,1345.27
MX-00169,PV-016,2024-05-01,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Javier Rodríguez,10.5,Gearbox oil filter,1434.5
MX-00075,WT-021,2024-05-02,corrective,"Corrective maintenance following fault E-1002: Rotor imbalance detected — blade pitch deviation >2°. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",María Sánchez,13.2,Generator coupling,11111.83
MX-00084,WT-023,2024-05-02,corrective,"Corrective maintenance following fault E-5002: Main circuit breaker trip — overvoltage protection activated. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Isabel Moreno,8.0,Transformer oil,13091.44
MX-00131,PV-005,2024-05-02,corrective,"Corrective maintenance following fault E-3001: Inverter overtemperature — ambient+module delta T exceeded. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Alejandro Ruiz,9.7,Rotor blade bolt kit,4358.46
MX-00002,WT-001,2024-05-03,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Elena Torres,9.4,Cable harness,1772.19
MX-00132,PV-005,2024-05-03,corrective,"Corrective maintenance following fault E-3001: Inverter overtemperature — ambient+module delta T exceeded. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Alejandro Ruiz,4.0,Rotor blade bolt kit,6936.86
MX-00138,PV-008,2024-05-03,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Diego González,4.7,Anemometer sensor,1365.38
MX-00102,WT-028,2024-05-04,corrective,"Corrective maintenance following fault E-2002: Power curve deviation — output 15% below expected at reference wind speed. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Javier Rodríguez,12.8,Cable harness,11928.35
MX-00154,PV-012,2024-05-05,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Diego González,9.6,Brake pad set,4240.54
MX-00021,WT-006,2024-05-06,corrective,"Corrective maintenance following fault E-5001: Transformer oil temperature warning — 85°C threshold reached. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Javier Rodríguez,5.5,Inverter IGBT module,4207.85
MX-00013,WT-004,2024-05-09,corrective,"Corrective maintenance following fault E-1001: Gearbox overheating — coolant flow below threshold. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Laura Martínez,14.4,Hydraulic pump seal,10066.52
MX-00044,WT-013,2024-05-09,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Laura Martínez,8.7,Gearbox oil filter,2509.62
MX-00068,WT-020,2024-05-09,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Isabel Moreno,7.2,Yaw motor,4532.08
MX-00125,PV-004,2024-05-09,corrective,"Corrective maintenance following fault E-3003: Grid frequency out of tolerance — automatic disconnect triggered. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Isabel Moreno,10.5,Gearbox oil filter,11342.35
MX-00017,WT-005,2024-05-10,corrective,"Corrective maintenance following fault E-2001: SCADA communication timeout — data gap logged. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Elena Torres,9.5,Anemometer sensor,1792.72
MX-00076,WT-021,2024-05-11,corrective,"Corrective maintenance following fault E-1003: Generator bearing vibration exceeds 8 mm/s RMS. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Laura Martínez,12.7,Yaw motor,6284.76
MX-00019,WT-006,2024-05-12,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Javier Rodríguez,5.9,Brake pad set,3456.02
MX-00105,WT-029,2024-05-12,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Javier Rodríguez,6.4,Generator coupling,3242.65
MX-00175,PV-017,2024-05-12,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Isabel Moreno,5.3,Gearbox oil filter,2823.4
MX-00047,WT-014,2024-05-13,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Diego González,8.0,Brake pad set,2986.67
MX-00088,WT-024,2024-05-13,corrective,"Corrective maintenance following fault E-1002: Rotor imbalance detected — blade pitch deviation >2°. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Alejandro Ruiz,2.3,Generator coupling,13299.86
MX-00179,PV-018,2024-05-13,corrective,"Corrective maintenance following fault E-3003: Grid frequency out of tolerance — automatic disconnect triggered. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Carlos Fernández,2.2,Cable harness,12294.2
MX-00064,WT-019,2024-05-14,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Alejandro Ruiz,6.0,Inverter IGBT module,4776.98
MX-00160,PV-013,2024-05-15,corrective,"Corrective maintenance following fault E-3002: String underperformance — DC current 20% below expected. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Laura Martínez,4.8,Anemometer sensor,14439.88
MX-00001,WT-001,2024-05-16,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Laura Martínez,11.0,Cable harness,1229.62
MX-00091,WT-025,2024-05-16,corrective,"Corrective maintenance following fault E-1002: Rotor imbalance detected — blade pitch deviation >2°. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Elena Torres,11.0,Control board,1666.01
MX-00082,WT-023,2024-05-18,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Carlos Fernández,5.2,Hydraulic pump seal,2891.68
MX-00039,WT-011,2024-05-19,corrective,"Corrective maintenance following fault E-1001: Gearbox overheating — coolant flow below threshold. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Javier Rodríguez,8.8,Brake pad set,11847.6
